case_id,employee_id,employee_name,contract_type,base_salary,claimed_commute,telework_days,claimed_housing,custom_deduction,deduction_reason
PI-PROD-2026-056,EMP-9456,Employee 56,regular,516000,11200,6,25000,0,
PI-PROD-2026-057,EMP-9457,Employee 57,regular,519500,12400,9,15000,0,
PI-PROD-2026-058,EMP-9458,Employee 58,outsourcing,420000,31500,12,25000,0,
PI-PROD-2026-059,EMP-9459,Employee 59,outsourcing,526500,14800,15,0,0,
PI-PROD-2026-060,EMP-9460,Employee 60,regular,530000,16000,0,15000,8000,Company Housing Maintenance Fee
PI-PROD-2026-061,EMP-9461,Employee 61,regular,533500,17200,3,0,0,
PI-PROD-2026-062,EMP-9462,Employee 62,regular,537000,18400,6,25000,0,
PI-PROD-2026-063,EMP-9463,Employee 63,contract,540500,19600,9,15000,0,
PI-PROD-2026-064,EMP-9464,Employee 64,outsourcing,544000,20800,12,0,0,
PI-PROD-2026-065,EMP-9465,Employee 65,regular,547500,22000,15,0,0,
PI-PROD-2026-066,EMP-9466,Employee 66,regular,551000,23200,0,15000,8000,Company Housing Maintenance Fee
PI-PROD-2026-067,EMP-9467,Employee 67,regular,300000,15000,5,15000,75000,Advance emergency salary repayment
PI-PROD-2026-068,EMP-9468,Employee 68,contract,558000,25600,6,25000,0,
PI-PROD-2026-069,EMP-9469,Employee 69,outsourcing,561500,26800,9,0,0,
PI-PROD-2026-070,EMP-9470,Employee 70,regular,565000,28000,12,25000,0,
PI-PROD-2026-071,EMP-9471,Employee 71,regular,568500,29200,15,0,0,
PI-PROD-2026-072,EMP-9472,Employee 72,regular,572000,30400,0,15000,8000,Company Housing Maintenance Fee
PI-PROD-2026-073,EMP-9473,Employee 73,contract,575500,31600,3,0,0,
PI-PROD-2026-074,EMP-9474,Employee 74,outsourcing,579000,32800,6,0,0,
PI-PROD-2026-075,EMP-9475,Employee 75,regular,582500,34000,9,15000,0,
PI-PROD-2026-076,EMP-9476,Employee 76,regular,445000,155000,5,20000,0,
PI-PROD-2026-077,EMP-9477,Employee 77,regular,589500,36400,15,0,0,
PI-PROD-2026-078,EMP-9478,Employee 78,contract,593000,37600,0,15000,0,
PI-PROD-2026-079,EMP-9479,Employee 79,outsourcing,596500,38800,3,0,0,
PI-PROD-2026-080,EMP-9480,Employee 80,regular,600000,8000,6,25000,0,
PI-PROD-2026-081,EMP-9481,Employee 81,regular,603500,9200,9,15000,0,
PI-PROD-2026-082,EMP-9482,Employee 82,regular,607000,10400,12,25000,0,
PI-PROD-2026-083,EMP-9483,Employee 83,outsourcing,500000,24000,13,25000,0,
PI-PROD-2026-084,EMP-9484,Employee 84,outsourcing,614000,12800,0,0,0,
PI-PROD-2026-085,EMP-9485,Employee 85,regular,617500,14000,3,0,0,
PI-PROD-2026-086,EMP-9486,Employee 86,regular,621000,15200,6,25000,0,
PI-PROD-2026-087,EMP-9487,Employee 87,regular,624500,16400,9,15000,0,
PI-PROD-2026-088,EMP-9488,Employee 88,contract,628000,17600,12,25000,0,
PI-PROD-2026-089,EMP-9489,Employee 89,outsourcing,631500,18800,15,0,0,
PI-PROD-2026-090,EMP-9490,Employee 90,regular,635000,20000,0,15000,8000,Company Housing Maintenance Fee
PI-PROD-2026-091,EMP-9491,Employee 91,regular,638500,21200,3,0,0,
PI-PROD-2026-092,EMP-9492,Employee 92,regular,642000,22400,6,25000,0,
PI-PROD-2026-093,EMP-9493,Employee 93,contract,645500,23600,9,15000,0,
PI-PROD-2026-094,EMP-9494,Employee 94,outsourcing,649000,24800,12,0,0,
PI-PROD-2026-095,EMP-9495,Employee 95,regular,652500,26000,15,0,0,
PI-PROD-2026-096,EMP-9496,Employee 96,regular,656000,27200,0,15000,8000,Company Housing Maintenance Fee
PI-PROD-2026-097,EMP-9497,Employee 97,regular,659500,28400,3,0,0,
PI-PROD-2026-098,EMP-9498,Employee 98,contract,663000,29600,6,25000,0,
PI-PROD-2026-099,EMP-9499,Employee 99,regular,520000,185000,4,20000,0,
PI-PROD-2026-100,EMP-9500,Employee 100,regular,670000,32000,12,25000,0,
PI-PROD-2026-101,EMP-9501,Employee 101,regular,673500,33200,15,0,0,
PI-PROD-2026-102,EMP-9502,Employee 102,regular,677000,34400,0,15000,8000,Company Housing Maintenance Fee
PI-PROD-2026-103,EMP-9503,Employee 103,contract,680500,35600,3,0,0,
PI-PROD-2026-104,EMP-9504,Employee 104,outsourcing,684000,36800,6,0,0,
PI-PROD-2026-105,EMP-9505,Employee 105,regular,687500,38000,9,15000,0,
PI-PROD-2026-106,EMP-9506,Employee 106,regular,691000,39200,12,25000,0,
PI-PROD-2026-107,EMP-9507,Employee 107,regular,694500,8400,15,0,0,
PI-PROD-2026-108,EMP-9508,Employee 108,contract,698000,9600,0,15000,0,
PI-PROD-2026-109,EMP-9509,Employee 109,outsourcing,460000,18000,3,25000,0,
PI-PROD-2026-110,EMP-9510,Employee 110,regular,325000,12000,6,25000,0,
PI-PROD-2026-111,EMP-9511,Employee 111,regular,328500,13200,9,15000,0,
PI-PROD-2026-112,EMP-9512,Employee 112,regular,332000,14400,12,25000,0,
PI-PROD-2026-113,EMP-9513,Employee 113,contract,335500,15600,15,0,0,
PI-PROD-2026-114,EMP-9514,Employee 114,contract,300000,15000,5,15000,75000,Advance emergency salary repayment
PI-PROD-2026-115,EMP-9515,Employee 115,regular,342500,18000,3,0,0,
PI-PROD-2026-116,EMP-9516,Employee 116,regular,346000,19200,6,25000,0,
PI-PROD-2026-117,EMP-9517,Employee 117,regular,349500,20400,9,15000,0,
PI-PROD-2026-118,EMP-9518,Employee 118,contract,353000,21600,12,25000,0,
PI-PROD-2026-119,EMP-9519,Employee 119,outsourcing,356500,22800,15,0,0,
PI-PROD-2026-120,EMP-9520,Employee 120,regular,360000,24000,0,15000,8000,Company Housing Maintenance Fee
